PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Fours,Sixes
Shahrukh Khan,6,Rashid Khan,lbw Rashid Khan,15,8,3,0,2
Kagiso Rabada,8,Lockie Ferguson,run out (Mohammad Shami),1,1,0,0,0
Rahul Chahar,9,,not out,22,14,4,2,1
Vaibhav Arora,11,Mohammad Shami,b Mohammad Shami,2,6,4,0,0
Arshdeep Singh,10,,not out,10,5,1,1,0
Matthew Wade,1,Kagiso Rabada,c Jonny Bairstow b Kagiso Rabada,6,7,4,1,0
Shubman Gill,2,Kagiso Rabada,c Mayank Agarwal b Kagiso Rabada,96,59,11,11,1
Sai Sudharsan,3,Rahul Chahar,c Mayank Agarwal b Rahul Chahar,35,30,12,4,1
Hardik Pandya,4,Odean Smith,run out (Jonny Bairstow),27,18,6,5,0
David Miller,5,,not out,6,4,1,1,0
Rahul Tewatia,6,,not out,13,3,0,0,2
Abhinav Manohar,7,,,0,0,0,0,0
Rashid Khan,8,,,0,0,0,0,0
Lockie Ferguson,9,,,0,0,0,0,0
Mohammad Shami,10,,,0,0,0,0,0
Darshan Nalkande,11,,,0,0,0,0,0
Robin Uthappa,2,Washington Sundar,c Aiden Markram b Washington Sundar,15,11,5,1,0
Ruturaj  Gaikwad,1,T Natarajan,b T Natarajan,16,13,7,3,0
Moeen Ali,3,Aiden Markram,c Rahul Tripathi b Aiden Markram,48,35,10,3,2
Ambati Rayudu,4,Washington Sundar,c Aiden Markram b Washington Sundar,27,27,12,4,0
Shivam Dube,6,T Natarajan,c Umran Malik b T Natarajan,3,5,2,0,0
Ravindra Jadeja,5,Bhuvneshwar Kumar,c Kane Williamson b Bhuvneshwar Kumar,23,15,5,2,1
MS Dhoni,7,Marco Jansen,c Umran Malik b Marco Jansen,3,6,3,0,0
Dwayne Bravo,8,,not out,8,5,0,1,0
Chris Jordan,9,,not out,6,3,0,0,0
Mukesh Choudhary,10,,,0,0,0,0,0
Maheesh Theekshana,11,,,0,0,0,0,0
Abhishek Sharma,1,Dwayne Bravo,c Chris Jordan b Dwayne Bravo,75,50,12,5,3
Kane Williamson,2,Mukesh Choudhary,c Moeen Ali b Mukesh Choudhary,32,40,20,2,1
Rahul Tripathi,3,,not out,39,15,1,5,2
Nicholas Pooran,5,,not out,5,2,0,1,0
Aiden Markram,4,,,0,0,0,0,0
Washington Sundar,6,,,0,0,0,0,0
Shashank Singh,7,,,0,0,0,0,0
Bhuvneshwar Kumar,8,,,0,0,0,0,0
Marco Jansen,9,,,0,0,0,0,0
T Natarajan,10,,,0,0,0,0,0
Umran Malik,11,,,0,0,0,0,0
